,primaryMedia,Name,Date,peopleObjectsLink
16,,Isaac Hlatshwayo,"South African, born 1977",View All Works Related to Isaac Hlatshwayo (1)
17,,Reinhold Hoberg,"German, 1859 - 1932",View All Works Related to Reinhold Hoberg (1)
18,,Howard Hodgkin,"British, born 1932",View All Works Related to Howard Hodgkin (1)
19,,Carl Hoeckner,"American, born Germany, 1883 - 1972",View All Works Related to Carl Hoeckner (39)
20,,Candida Höfer,"German, born 1944",View All Works Related to Candida Höfer (1)
21,,Carl Hofer,"German, 1878 - 1955",View All Works Related to Carl Hofer (4)
22,,Thomas Hoffman,American,View All Works Related to Thomas Hoffman (1)
23,,Margo Hoff,"American, 1910 - 2008",View All Works Related to Margo Hoff (1)
24,,William Hogarth,"English, 1697 - 1764",View All Works Related to William Hogarth (28)
25,,Holbein,"German, ca. 1497 - 1543",View All Works Related to Holbein (1)
26,,Barry Holden,American,View All Works Related to Barry Holden (1)
27,,Hollander Graphic Workshop,,View All Works Related to Hollander Graphic Workshop (1)
28,Image Not Available for Nichole Hollander,Nichole Hollander,"American, born 1939",
29,,Jenny Holzer,"American, born 1950",View All Works Related to Jenny Holzer (1)
30,,Winslow Homer,"American, 1836 - 1910",View All Works Related to Winslow Homer (17)
31,,Jerome Hopfer,"German, 16th century",View All Works Related to Jerome Hopfer (1)
32,,Lambrecht Hopfer,"German, active 1520 - 30",View All Works Related to Lambrecht Hopfer (1)
33,,Sky Hopinka,"Ho-Chunk/Pechanga, born Ferndale, WA, 1984",View All Works Related to Sky Hopinka (1)
34,,Michael Hopkins,"American, born 1958",View All Works Related to Michael Hopkins (6)
35,,Edward Hopper,"American, 1882 - 1967",View All Works Related to Edward Hopper (1)
36,,Matthew Hopson-Walker,"American, born 1976",View All Works Related to Matthew Hopson-Walker (1)
37,,Matthew Hornerker,,View All Works Related to Matthew Hornerker (1)
38,Image Not Available for Linda Horn,Linda Horn,"American, born 1940",
39,,Ruyell Ho,"American, born 1936",View All Works Related to Ruyell Ho (1)
40,,Stephen de Hospodar,"American, born Hungary, 1902 - 1959",View All Works Related to Stephen de Hospodar (1)
41,,Jim Ann Howard,"American, born 1948",View All Works Related to Jim Ann Howard (1)
42,,Alfred Hrdlicka,"Austrian, 1928 - 2009",View All Works Related to Alfred Hrdlicka (3)
43,,Olinka Hrdy,"American, 1902 - 1987",View All Works Related to Olinka Hrdy (1)
44,Image Not Available for John Hrehov,John Hrehov,"American, born 1958",
45,Image Not Available for Unknown artist H.S.,Unknown artist H.S.,,
46,,Teresa Hubbard,"American, born 1965",View All Works Related to Teresa Hubbard (1)
47,,Hermann Huber,"Swiss, 1888 - 1968",View All Works Related to Hermann Huber (1)
48,,Ulrich Hübner,"German, 1872 - 1932",View All Works Related to Ulrich Hübner (2)
49,,Brettiny Hucks,,View All Works Related to Brettiny Hucks (1)
0,,Tom Huck,"American, born 1971",View All Works Related to Tom Huck (4)
1,,Aaron Hughes,,View All Works Related to Aaron Hughes (1)
2,,Paul Huldschinsky,"German, 1889 - 1947",View All Works Related to Paul Huldschinsky (3)
3,,Richard Hull,"American, born 1955",View All Works Related to Richard Hull (6)
4,,Bryan Hunt,"American, born 1947",View All Works Related to Bryan Hunt (3)
5,,Richard Hunt,"American, born 1935",View All Works Related to Richard Hunt (1)
6,Image Not Available for Doug Huston,Doug Huston,"American, born 1949",
7,,Helen Hyde,"American, 1868 - 1919",View All Works Related to Helen Hyde (7)
8,,Bryan Illsley,"British, born 1937",View All Works Related to Bryan Illsley (12)
9,,Peter Ilsted,"Danish, 1861 - 1933",View All Works Related to Peter Ilsted (1)
10,Image Not Available for Mr. Imagination,Mr. Imagination,"American, 1948 - 2012",
11,,Edgar Imler,"American, 1890 - 1973",View All Works Related to Edgar Imler (1)
12,,Robert Indiana,"American, 1928 - 2018",View All Works Related to Robert Indiana (9)
13,,Walter Iooss,"American, born 1943",View All Works Related to Walter Iooss (6)
14,,Jean Robert Ipoustéguy,"French, 1920 - 2006",View All Works Related to Jean Robert Ipoustéguy (1)
15,Image Not Available for Doug Ischar,Doug Ischar,"American, born 1948",View All Works Related to Doug Ischar (1)
16,,"Israël Henriet (French, 1590-1661)",,"View All Works Related to Israël Henriet (French, 1590-1661) (1)"
17,,Michiko Itatani,"Japanese, born 1948",View All Works Related to Michiko Itatani (5)
18,Image Not Available for I.V.A.W.,I.V.A.W.,,View All Works Related to I.V.A.W. (1)
19,,Carrie Iverson,"American, born 1972",View All Works Related to Carrie Iverson (2)
20,,Paul Jablonka,,View All Works Related to Paul Jablonka (2)
21,,Joseph D. Jachna,"American, 1935 - 2016",View All Works Related to Joseph D. Jachna (2)
22,,Bill Jacklin,"American, born England, 1943",View All Works Related to Bill Jacklin (1)
23,,Eli Jacobi,"American, born Russia, 1898 - 1984",View All Works Related to Eli Jacobi (1)
24,,Louis Jacob,"French, 1712 - 1802",View All Works Related to Louis Jacob (2)
25,,Abraham Jacobs,"American, born Poland, 1904 - 1960",View All Works Related to Abraham Jacobs (1)
26,,William Jacobs,"American, 1897 - 1973",View All Works Related to William Jacobs (4)
27,,Charles Emile Jacque,"French, 1813 - 1894",View All Works Related to Charles Emile Jacque (2)
28,Image Not Available for Linda James,Linda James,,
29,,Teresa Mucha James,,View All Works Related to Teresa Mucha James (1)
30,,Robert Jancovic,"Slovakian, born 1981",View All Works Related to Robert Jancovic (4)
31,,"Jean Bouchard, Rome",,"View All Works Related to Jean Bouchard, Rome (1)"
32,,"Jean-Paul Berger on the handpresses of Frélaut and Lacourière, Paris",,"View All Works Related to Jean-Paul Berger on the handpresses of Frélaut and Lacourière, Paris (28)"
33,,Harold C. Jensen,"American, 1900 - 1972",View All Works Related to Harold C. Jensen (5)
34,Image Not Available for Robert Jessup,Robert Jessup,,View All Works Related to Robert Jessup (1)
35,,Pieter de Jode I,"Belgian, 1570 - 1634",View All Works Related to Pieter de Jode I (1)
36,,"Johannes Petreius, Nuremberg",,"View All Works Related to Johannes Petreius, Nuremberg (1)"
37,,"John Boydell, Cheapside, London",,"View All Works Related to John Boydell, Cheapside, London (1)"
38,,"John Nichols, J. Nebraska Gifford",,"View All Works Related to John Nichols, J. Nebraska Gifford (1)"
39,,Jasper Johns,"American, born 1930",View All Works Related to Jasper Johns (2)
40,,Lester Johnson,"American, 1919 - 2010",View All Works Related to Lester Johnson (2)
41,,Matt Johnson,"American, born 1978",View All Works Related to Matt Johnson (1)
42,,Rashid Johnson,"American, born 1977",View All Works Related to Rashid Johnson (1)
43,Image Not Available for Robert Johnson,Robert Johnson,,
44,,Tonika Lewis Johnson,"American, born 1979",View All Works Related to Tonika Lewis Johnson (9)
45,,David Jones,"American, born 1950",View All Works Related to David Jones (1)
46,,Fred Jones,"English, born 1940",View All Works Related to Fred Jones (1)
47,,Joe Jones,"American, 1909 - 1963",View All Works Related to Joe Jones (1)
48,,Jacob Jordaens,"Belgian, 1593 - 1678",View All Works Related to Jacob Jordaens (1)
49,,Dave Jordano,"American, born 1948",View All Works Related to Dave Jordano (1)
0,,Valerie Jordan,,View All Works Related to Valerie Jordan (2)
1,,Donald Judd,"American, 1928 - 1994",View All Works Related to Donald Judd (1)
2,,Ludwig Heinrich Jugenickel,"Austrian, 1881 - 1965",View All Works Related to Ludwig Heinrich Jugenickel (1)
3,,Mervin Jules,"American, 1912 - 1994",View All Works Related to Mervin Jules (7)
4,,Anita Jung,"American, born 1960",View All Works Related to Anita Jung (2)
5,,"Franz Xaver Jungwirth, based on Bernardo Bellotto",1720 - 1790,"View All Works Related to Franz Xaver Jungwirth, based on Bernardo Bellotto (1)"
6,,Gary Justis,"American, born 1953",View All Works Related to Gary Justis (6)
7,,Justseeds Artists' Cooperative,,View All Works Related to Justseeds Artists' Cooperative (1)
8,,"Justseeds Artists' Cooperative, Iraq Veterans Against the War (IVAW)",,"View All Works Related to Justseeds Artists' Cooperative, Iraq Veterans Against the War (IVAW) (36)"
9,,James Juszczyk,"American, born 1943",View All Works Related to James Juszczyk (3)
10,,J.V. Vermeer the Younger,,View All Works Related to J.V. Vermeer the Younger (1)
11,,Sheffield Kagy,"American, 1907 - 1989",View All Works Related to Sheffield Kagy (1)
12,,Vardi Kahana,"Israeli, born 1959",View All Works Related to Vardi Kahana (2)
13,Image Not Available for Katie Kahn,Katie Kahn,,
14,,Max Kahn,"American, born Russia, 1902 - 2005",View All Works Related to Max Kahn (7)
15,,Wolf Kahn,"American, born Germany, 1927",View All Works Related to Wolf Kahn (1)
16,,Jacob Kainen,"American, 1909 - 2001",View All Works Related to Jacob Kainen (1)
17,,William Kaine,American,View All Works Related to William Kaine (2)
18,,Richard Kalina,,View All Works Related to Richard Kalina (1)
19,,Richard Kalino,"American, born 1946",View All Works Related to Richard Kalino (1)
20,,Freidrich Kallmorgen,"German, 1856 - 1924",View All Works Related to Freidrich Kallmorgen (1)
21,,Arthur Kampf,"German, 1864 - 1950",View All Works Related to Arthur Kampf (2)
22,,Admire Kamudzengerere,"Zimbabwean, born 1981",View All Works Related to Admire Kamudzengerere (16)
23,,Wassily Kandinsky,"French, born Russia, 1866 - 1944",View All Works Related to Wassily Kandinsky (2)
24,Image Not Available for Gail Kaplan,Gail Kaplan,American,
25,,David Kapp,"American, born 1953",View All Works Related to David Kapp (2)
26,,Dennis Kardon,"American, born 1950",View All Works Related to Dennis Kardon (6)
27,,Clifton Karhu,"American, born 1927",View All Works Related to Clifton Karhu (1)
28,Image Not Available for Terry Karpowicz,Terry Karpowicz,American,
29,,Yousuf Karsh,"Canadian and Armenian, 1908 - 2002",View All Works Related to Yousuf Karsh (2)
30,,Emiko Kasahara,"Japanese, born 1963",View All Works Related to Emiko Kasahara (2)
31,,Deborah Kass,"American, born 1952",View All Works Related to Deborah Kass (1)
32,,"Käthe Vogt Verlag, Berlin",,"View All Works Related to Käthe Vogt Verlag, Berlin (1)"
33,,Alex Katz,"American, born 1927",View All Works Related to Alex Katz (2)
34,,A. Raymond Katz,"American, 1895 - 1974",View All Works Related to A. Raymond Katz (1)
35,,Hyman Katz,"American, born Poland, 1899 - 1970",View All Works Related to Hyman Katz (2)
36,,Leo Katz,"American, 1887 - 1982",View All Works Related to Leo Katz (1)
37,,Barrie Kaufman,"American, born 1954",View All Works Related to Barrie Kaufman (1)
38,,Steve Keister,"American, born 1949",View All Works Related to Steve Keister (1)
39,,Charles Keller,"American, 1914 - 2006",View All Works Related to Charles Keller (9)
40,,Georg Keller,"German, 1576 - 1640",View All Works Related to Georg Keller (2)
41,,Mike Kelley,1954 - 2012,View All Works Related to Mike Kelley (1)
42,,Brian Kelly,"American, born 1969",View All Works Related to Brian Kelly (1)
43,,Ellsworth Kelly,"American, 1923 - 2015",View All Works Related to Ellsworth Kelly (1)
44,,"Kelpra Studio, Ltd., London, England",,"View All Works Related to Kelpra Studio, Ltd., London, England (1)"
45,Image Not Available for David Kelso,David Kelso,"American, born 1948",
46,Image Not Available for Mary Kennedy,Mary Kennedy,American,
47,,Corita Kent,"American, 1918 - 1986",View All Works Related to Corita Kent (2)
48,,Jane Kent,"American, born 1952",View All Works Related to Jane Kent (7)
49,,Rockwell Kent,"American, 1882 - 1971",View All Works Related to Rockwell Kent (5)
0,,Stanley Keppel,American,View All Works Related to Stanley Keppel (1)
1,Image Not Available for Theodorus van Kessel,Theodorus van Kessel,"Dutch, 1620 - ca. 1660",
2,,Rose Kgoete,"South African, born 1972",View All Works Related to Rose Kgoete (1)
3,,Thomas Kgope,"South African, born 1954",View All Works Related to Thomas Kgope (1)
4,,Philipp Andreas Kilian,"German, 1714 - 1759",View All Works Related to Philipp Andreas Kilian (1)
5,,Wayne Kimball,"American, born 1943",View All Works Related to Wayne Kimball (2)
6,,Cheonae Kim,"American, born Korea, 1952",View All Works Related to Cheonae Kim (1)
7,,Wesley Kimler,"American, born 1953",View All Works Related to Wesley Kimler (2)
8,Image Not Available for Kathleen King,Kathleen King,American,
9,,William Kinyua,,View All Works Related to William Kinyua (2)
10,,Mario Kiran,"Indian, born 1974",View All Works Related to Mario Kiran (1)
11,,Elisha Kirkall,"English, ca. 1682 - 1742",View All Works Related to Elisha Kirkall (1)
12,,Irene Kissel,"American, born 1904",View All Works Related to Irene Kissel (1)
13,,Ron Kleemann,"American, 1937 - 2014",View All Works Related to Ron Kleemann (1)
14,,Art Kleinman,American,View All Works Related to Art Kleinman (4)
15,,Yves Klein,"French, 1928 - 1962",View All Works Related to Yves Klein (1)
16,,Vera Klement,"American, born Poland, 1929",View All Works Related to Vera Klement (4)
17,,"Klibor, Berlin",,"View All Works Related to Klibor, Berlin (1)"
18,,Erika Giovanna Klien,"Austrian, 1900 - 1957",View All Works Related to Erika Giovanna Klien (2)
19,,Max Klinger,"German, 1857 - 1920",View All Works Related to Max Klinger (4)
20,,Berry Klingman,American,View All Works Related to Berry Klingman (1)
21,,H. C. Kniger,Origin unknown,View All Works Related to H. C. Kniger (1)
22,Image Not Available for Greg Knight,Greg Knight,"American, born 1952",
23,,"Knoxville Print Workshop, University of Tennessee",,"View All Works Related to Knoxville Print Workshop, University of Tennessee (1)"
24,,Anton Koberger,"German, ca. 1445 - 1513",View All Works Related to Anton Koberger (1)
25,,Henry Koehler,"American, born 1927",View All Works Related to Henry Koehler (2)
26,,"Michael Koerner, Ph.D.","Japanese-American, born Okinawa, Japan, 1963","View All Works Related to Michael Koerner, Ph.D. (3)"
27,,Misch Kohn,"American, 1916 - 2002",View All Works Related to Misch Kohn (3)
28,,Alois Kolb,"Austrian, 1875 - 1942",View All Works Related to Alois Kolb (2)
29,,Käthe Kollwitz,"German, 1867 - 1945",View All Works Related to Käthe Kollwitz (3)
30,,Vitaly Komar,"Russian, born 1943",View All Works Related to Vitaly Komar (12)
31,,Edward Koren,"American, born 1943",View All Works Related to Edward Koren (8)
32,,Torkel Korling,"American, born Sweden, 1903 - 1998",View All Works Related to Torkel Korling (9)
33,Image Not Available for Jim Koss,Jim Koss,"American, born 1952",
34,,Andrew Kosten,"American, born 1979",View All Works Related to Andrew Kosten (1)
35,,Cal Kowal,"American, born 1944",View All Works Related to Cal Kowal (1)
36,Image Not Available for Alexandra Kowerko,Alexandra Kowerko,"Ukrainian, born 1955",
37,,Myron Kozman,"American, 1916 - 2002",View All Works Related to Myron Kozman (6)
38,,Linda Kramer,"American, born 1937",View All Works Related to Linda Kramer (1)
39,Image Not Available for Claire Wolf Krantz,Claire Wolf Krantz,American,
40,,Mark Krastof,"American, born 1942",View All Works Related to Mark Krastof (1)
41,,Jan Krejci,"Czech, born United States, 1942 - 2001",View All Works Related to Jan Krejci (1)
42,Image Not Available for Irwin Kremen,Irwin Kremen,"American, born 1925",View All Works Related to Irwin Kremen (1)
43,Image Not Available for Michael Kress-Russick,Michael Kress-Russick,"American, born 1959",
44,,Barbara Kruger,"American, born 1945",View All Works Related to Barbara Kruger (1)
45,,Jaroslav Krupka,"Czech, active ca. 1920 - 1930",View All Works Related to Jaroslav Krupka (1)
46,Image Not Available for Kathryn Kucera,Kathryn Kucera,American,
47,,Walter Kuhne,"American, 1877 - 1949",View All Works Related to Walter Kuhne (2)
48,,Walt Kuhn,"American, 1880 - 1949",View All Works Related to Walt Kuhn (1)
49,,Oldrich Kulhanek,"Czech, born 1940",View All Works Related to Oldrich Kulhanek (1)
0,,Hans von Kulmbach,"German, ca. 1485 - 1522",View All Works Related to Hans von Kulmbach (1)
1,,Kunimaru,"Japanese, 1794 - 1829",View All Works Related to Kunimaru (1)
2,,Ichiyusi Kunisada,"Japanese, 1786 - 1864",View All Works Related to Ichiyusi Kunisada (2)
3,,Anna Kunz,"American, born 1969",View All Works Related to Anna Kunz (17)
4,,Lawrence Kupferman,"American, 1909 - 1982",View All Works Related to Lawrence Kupferman (1)
5,,Terry Kurgan,"South African, born 1958",View All Works Related to Terry Kurgan (2)
6,,Gabriel Kuri,"Mexican, born 1970",View All Works Related to Gabriel Kuri (2)
7,,Ash Kyrie,,View All Works Related to Ash Kyrie (1)
8,,Maxime Lalanne,"French, 1827 - 1886",View All Works Related to Maxime Lalanne (1)
9,,Norman Laliberte,"American, born 1925",View All Works Related to Norman Laliberte (1)
10,,Anthony Lam,"British, born 1966",View All Works Related to Anthony Lam (12)
11,Image Not Available for Paul LaMantia,Paul LaMantia,"American, born 1938",
12,,Nicolas Lampert,,View All Works Related to Nicolas Lampert (1)
13,,Perry Lancaster,"English, born 1878",View All Works Related to Perry Lancaster (1)
14,,"Landfall Press, Chicago",,"View All Works Related to Landfall Press, Chicago (5)"
15,,"Landfall Press, Inc.",,"View All Works Related to Landfall Press, Inc. (1)"
16,,"Landfall Press, Inc., Chicago, Illinois",,"View All Works Related to Landfall Press, Inc., Chicago, Illinois (2)"
17,,Ronnie Landfield,"American, born 1947",View All Works Related to Ronnie Landfield (1)
18,,Edward Landon,"American, 1911 - 1984",View All Works Related to Edward Landon (1)
19,,Ellen Lanyon,"American, 1926 - 2013",View All Works Related to Ellen Lanyon (7)
20,,Ben F. Laposky,"American, 1914 - 2000",View All Works Related to Ben F. Laposky (1)
21,,Liz Larner,"American, born 1960",View All Works Related to Liz Larner (1)
22,,Frank Laroche,"American, 1853 - 1936",View All Works Related to Frank Laroche (2)
23,,Carl Larsson,"Swedish, 1853 - 1919",View All Works Related to Carl Larsson (1)
24,Image Not Available for Mike Lash,Mike Lash,"American, born 1961",
25,,Ibram Lassaw,"American, born Egypt, 1913 - 2003",View All Works Related to Ibram Lassaw (1)
26,,Paul Laster,"American, born 1951",View All Works Related to Paul Laster (2)
27,,Henri Laurens,"French, 1885 - 1954",View All Works Related to Henri Laurens (2)
28,,Hanns Lautensack,"German, ca. 1520 - 1564/66",View All Works Related to Hanns Lautensack (2)
29,,Louise Lawler,"American, born 1947",View All Works Related to Louise Lawler (5)
30,,Edgar H. Lawrence,American,View All Works Related to Edgar H. Lawrence (2)
31,,Jacob Lawrence,"American, 1917 - 2000",View All Works Related to Jacob Lawrence (17)
32,,Lawrence Lithography Workshop,founded 1979,View All Works Related to Lawrence Lithography Workshop (3)
33,,Pietro Lazzari,"American, born Italy, 1898 - 1979",View All Works Related to Pietro Lazzari (39)
34,,June Leaf,"American, born 1929",View All Works Related to June Leaf (5)
35,Image Not Available for Daniel Leary,Daniel Leary,"American, born 1955",
36,,Charles Lebrun,"French, 1619 - 1690",View All Works Related to Charles Lebrun (1)
37,,Judy Ledgerwood,"American, born 1959",View All Works Related to Judy Ledgerwood (7)
38,Image Not Available for Li Lin Lee,Li Lin Lee,"American, born 1955",
39,,Hughie Lee-Smith,"American, 1915 - 1999",View All Works Related to Hughie Lee-Smith (1)
40,,"Leeuw, called Gregheito da Leone","Dutch, 1643 - 1688","View All Works Related to Leeuw, called Gregheito da Leone (1)"
41,,Theo Leffmann,"American, 1911 - 1996",View All Works Related to Theo Leffmann (70)
42,,Deshon Legrand,,View All Works Related to Deshon Legrand (1)
43,,Wilhelm Lehmbruck,"German, 1881 - 1919",View All Works Related to Wilhelm Lehmbruck (1)
44,,Leonard Lehrer,"American, born 1935",View All Works Related to Leonard Lehrer (1)
45,,Riva Lehrer,"American, born 1958",View All Works Related to Riva Lehrer (2)
46,,Wilhelm Leibl,"German, 1844 - 1900",View All Works Related to Wilhelm Leibl (1)
47,,Cary Leibowitz,"American, born 1963",View All Works Related to Cary Leibowitz (2)
48,,Clare Leighton,"American, born England, 1898 - 1989",View All Works Related to Clare Leighton (1)
49,Image Not Available for Kate Leonard,Kate Leonard,American,
0,,Zoe Leonard,"American, born 1961",View All Works Related to Zoe Leonard (1)
1,Image Not Available for Arthur Lerner,Arthur Lerner,"American, born 1929",
2,,Nathan Lerner,"American, 1913 - 1997",View All Works Related to Nathan Lerner (8)
3,,"LeRoy Neiman Center for Print Studies, Columbia University, New York",,"View All Works Related to LeRoy Neiman Center for Print Studies, Columbia University, New York (2)"
4,,"LeRoy Neiman Center for Print Studies, Columbia University, New York; Megan Foster, printer",,"View All Works Related to LeRoy Neiman Center for Print Studies, Columbia University, New York; Megan Foster, printer (2)"
5,,R. Lesser,,View All Works Related to R. Lesser (1)
6,,Laura Letinsky,"Canadian, born 1962",View All Works Related to Laura Letinsky (2)
7,Image Not Available for Barbara Leventhal-Stern,Barbara Leventhal-Stern,"American, 1948 - 2009",
8,,Tom Levine,"American, born 1945",View All Works Related to Tom Levine (1)
9,,David Levinthal,"American, born 1949",View All Works Related to David Levinthal (21)
10,,Leon Lewandowski,"American, 1932 - 2005",View All Works Related to Leon Lewandowski (9)
11,,Martin Lewis,"American, born Australia, 1881 - 1962",View All Works Related to Martin Lewis (4)
12,,Sol LeWitt,"American, 1928 - 2007",View All Works Related to Sol LeWitt (13)
13,,Lucas van Leyden,"Dutch, ca. 1494 - 1533",View All Works Related to Lucas van Leyden (2)
14,Image Not Available for Roy Lichtenstein,Roy Lichtenstein,"American, 1923 - 1997",View All Works Related to Roy Lichtenstein (1)
15,,Schomer Lichter,"American, 1905 - 2006",View All Works Related to Schomer Lichter (1)
16,,Max Liebermann,"German, 1847 - 1935",View All Works Related to Max Liebermann (1)
17,,Glenn Ligon,"American, born 1960",View All Works Related to Glenn Ligon (1)
18,,Linder The Elder,Origin unknown,View All Works Related to Linder The Elder (1)
19,,Maya Lin,"American, born 1959",View All Works Related to Maya Lin (1)
20,,Linnell,Origin Unknown,View All Works Related to Linnell (1)
21,,Jacques Lipchitz,"French, born Lithuania, 1891 - 1973",View All Works Related to Jacques Lipchitz (2)
22,,Roy Lippincott,"American, 1885 - 1969",View All Works Related to Roy Lippincott (3)
23,,Donald Lipski,"American, born 1947",View All Works Related to Donald Lipski (2)
24,,L.M. Stein,,View All Works Related to L.M. Stein (1)
25,,Hew Locke,"British, born 1959",View All Works Related to Hew Locke (2)
26,Image Not Available for Patricia Locke,Patricia Locke,American,
27,,Juan Logan,"American, born 1946",View All Works Related to Juan Logan (1)
28,,"London Arts, Inc. and Lerum Arts",,"View All Works Related to London Arts, Inc. and Lerum Arts (18)"
29,,"London Arts, Inc., Detroit, Michigan",,"View All Works Related to London Arts, Inc., Detroit, Michigan (1)"
30,,Robert Longo,"American, born 1953",View All Works Related to Robert Longo (1)
31,,Tim Long,"American, born 1951",View All Works Related to Tim Long (1)
32,,James Lorigan,American,View All Works Related to James Lorigan (1)
33,,Boris Lovett Lorski,"American, born Prussia, 1894 - 1973",View All Works Related to Boris Lovett Lorski (1)
34,,Los Carpinteros,"Cuban, founded 1991",View All Works Related to Los Carpinteros (4)
35,,Robert Lostutter,"American, born 1939",View All Works Related to Robert Lostutter (2)
36,,"Louis Brodeur, Paris",,"View All Works Related to Louis Brodeur, Paris (1)"
37,,Loup,founded 2017,View All Works Related to Loup (1)
38,,Richard Loving,"American, born Austria, 1924",View All Works Related to Richard Loving (9)
39,Image Not Available for Tim Lowly,Tim Lowly,"American, born 1958",
40,,Louis Lozowick,"American, 1892 - 1973",View All Works Related to Louis Lozowick (1)
41,Image Not Available for Robert Lucy,Robert Lucy,"American, born 1965",
42,,Natalia Ludmila,"Mexican, born 1980",View All Works Related to Natalia Ludmila (1)
43,,Alexandre Lunois,"French, 1863 - 1916",View All Works Related to Alexandre Lunois (1)
44,,Nan Lurie,"American, 1910 - ca. 1985",View All Works Related to Nan Lurie (1)
45,,Mark Luyten,"Belgian, born 1955",View All Works Related to Mark Luyten (9)
46,,Ntombizodwa Lwana,"South African, born 1966",View All Works Related to Ntombizodwa Lwana (1)
47,,David Lynch,"American, born 1946",View All Works Related to David Lynch (1)
48,,Beauvais Lyons,"American, born 1958",View All Works Related to Beauvais Lyons (2)
49,,David Macaulay,"American, born 1946",View All Works Related to David Macaulay (1)
0,,Clara MacGowan,"American, 1929 - 1978",View All Works Related to Clara MacGowan (1)
1,Image Not Available for Frank Machek,Frank Machek,American,
2,,Joanna Zopor Mackenzie,,View All Works Related to Joanna Zopor Mackenzie (1)
3,,Harry Francis Mack,"American, born 1907",View All Works Related to Harry Francis Mack (6)
4,,Donald Shaw MacLauglhan,"Canadian, 1876 - 1938",View All Works Related to Donald Shaw MacLauglhan (1)
5,,Josh MacPhee,,View All Works Related to Josh MacPhee (1)
6,,Marie R. Macpherson,"American, 1879 - ca. 1942",View All Works Related to Marie R. Macpherson (1)
7,,Madison Mutual Drift collective,,View All Works Related to Madison Mutual Drift collective (1)
8,,"Madison Print Club, Madison, Wisconsin",,"View All Works Related to Madison Print Club, Madison, Wisconsin (1)"
9,,Maeght Éditeur,,View All Works Related to Maeght Éditeur (2)
10,,Timothy Magojo,South African,View All Works Related to Timothy Magojo (2)
11,,Noel Mahaffey,"American, born 1944",View All Works Related to Noel Mahaffey (1)
12,,Aristide Maillol,"French, 1861 - 1944",View All Works Related to Aristide Maillol (1)
13,,"La Maison Aubert, Paris, France",,"View All Works Related to La Maison Aubert, Paris, France (1)"
14,,Thomas Majeski,"American, born 1933",View All Works Related to Thomas Majeski (1)
15,,Frank Majore,"American, born 1948",View All Works Related to Frank Majore (1)
16,,Haku Maki,"Japanese, 1924 - 2000",View All Works Related to Haku Maki (1)
17,Image Not Available for Victor Maldonado,Victor Maldonado,"American, born 1976",
18,,Maltus,,View All Works Related to Maltus (1)
19,,Merritt Manchez,"American, 1898 - 1975",View All Works Related to Merritt Manchez (1)
20,,Robert Mangold,"American, born 1937",View All Works Related to Robert Mangold (1)
21,,Sylvia Plimack Mangold,"American, born 1938",View All Works Related to Sylvia Plimack Mangold (5)
22,,Giacomo Manzù,"Italian, 1908 - 1991",View All Works Related to Giacomo Manzù (2)
23,,Robert Mapplethorpe,"American, 1946 - 1989",View All Works Related to Robert Mapplethorpe (4)
24,,Franz Marc,"German, 1880 - 1916",View All Works Related to Franz Marc (1)
25,,Christian Marclay,"American, born 1955",View All Works Related to Christian Marclay (2)
26,Image Not Available for Marcotino,Marcotino,Origin unknown,View All Works Related to Marcotino (1)
27,,Brice Marden,"American, born 1938",View All Works Related to Brice Marden (1)
28,,Siri Margerin,,View All Works Related to Siri Margerin (3)
29,,Boris Margo,"American, 1902 - 1995",View All Works Related to Boris Margo (1)
30,,Marino Marini,"Italian, 1901 - 1980",View All Works Related to Marino Marini (3)
31,Image Not Available for Tom Marino,Tom Marino,American,
32,,Marisol (Marisol Escobar),"Venezuelan-American, 1930 - 2016",View All Works Related to Marisol (Marisol Escobar) (1)
33,,"Mark Patsfall Graphics, Inc.",,"View All Works Related to Mark Patsfall Graphics, Inc. (1)"
34,,Kerry James Marshall,"American, born 1955",View All Works Related to Kerry James Marshall (2)
35,,Niccolò Martinelli,"Italian, ca. 1540 - 1611",View All Works Related to Niccolò Martinelli (1)
36,Image Not Available for Ray Martin,Ray Martin,,
37,,Antonio Martorell,"Puerto Rican, born 1939",View All Works Related to Antonio Martorell (12)
38,Image Not Available for Martyl,Martyl,,
39,,Suzanne Martyl,"American, born 1917",View All Works Related to Suzanne Martyl (1)
40,,"Mary and Leigh Block Museum of Art and Anchor Graphics, Chicago",,"View All Works Related to Mary and Leigh Block Museum of Art and Anchor Graphics, Chicago (2)"
41,,Master of the Die,"Italian, ca. 1530 - ca. 1560",View All Works Related to Master of the Die (1)
42,,Jacob Matham,"Dutch, 1571 - 1631",View All Works Related to Jacob Matham (1)
43,,Colin Mathews,,View All Works Related to Colin Mathews (1)
44,,Henri Matisse,"French, 1869 - 1954",View All Works Related to Henri Matisse (2)
45,,Sandra Matthews,"American, born 1951",View All Works Related to Sandra Matthews (1)
46,Image Not Available for Susan Matthews,Susan Matthews,"American, born 1952",
47,,Anton Mauve,"Dutch, 1838 - 1888",View All Works Related to Anton Mauve (1)
48,,Martin Mazorra,"Cuban American, born 1972",View All Works Related to Martin Mazorra (2)
49,Image Not Available for Matthew McCaslin,Matthew McCaslin,"American, born 1957",View All Works Related to Matthew McCaslin (1)
0,,John McCrady,Origin unknown,View All Works Related to John McCrady (1)
